number	title	pageid	namespace	length	touched
228	Victoire_à_trois_points	5817719		3439	20170212231643
229	Fima_Sporting	5850425		2254	20170213045708
230	Football_freestyle	5939017		1911	20170213045927
231	Liste_des_récompenses_de_la_Coupe_des_confédérations	5951014		8024	20170208190319
232	Académie_de_l'Impact_de_Montréal	5952840		8179	20170127054803
233	IMG_Soccer_Academy	5977843		1985	20170116171034
234	Trophée_Hermann	5989033		10982	20170212065307
235	Émeute_du_stade_de_Port-Saïd	6041400		9856	20170214153942
236	La_Domenica_Sportiva	6085396		3128	20170213050405
237	Match_de_la_mort	6215857		3912	20170212233754
238	Finale_de_la_Coupe_d'Angleterre_de_football_de_1956	6247875		12761	20170212233853
239	Centre_de_formation_du_Sporting_Portugal	6275588		14985	20170213050822
240	Centre_de_formation_du_Racing_Club_de_Strasbourg	6290774		29055	20170212234131
241	Revie_Plan	6290958		2457	20170212234131
242	Bataille_de_Nuremberg_(football)	6367927		138	20160628220846
243	United_(téléfilm)	6440135		2682	20170212234759
244	Abide_with_Me	6456172		6466	20170210222600
245	Centre_de_formation_de_l'En_Avant_de_Guingamp	6570163		4619	20170212235245
246	Meilleur_buteur_du_championnat_de_Tunisie_de_football	6590016		14937	20170213051720
247	Meilleur_footballeur_tunisien	6590018		3076	20170213051720
248	Golden_Foot	6658802		5200	20170128232650
249	Meilleurs_buteurs_de_football_sur_une_saison	6719260		20606	20170213051916
250	Cuju	6748174		8268	20170131050000
251	Golden_Boy_(football)	6825870		7252	20170116182819
252	Histoire_du_football_en_Afrique_française_du_Nord	6971846		113655	20170215022446
253	Crampons_(chaussure)	7194213		6778	20170213001750
254	Liste_de_stades_de_football_tunisiens	7212827		5235	20170213053123
255	Showbol	7228936		634	20170213053139
256	Médaille_Johnny-Warren	7316008		6983	20170215022802
257	Meilleurs_buteurs_du_championnat_d'Australie_de_football	7317759		10192	20170116190626
258	Foot_de_boue	7320654		2542	20170213053341
259	Statistiques_et_records_de_l'Athlétic_Club_Arles-Avignon	7356209		29089	20170215022831
260	Transfert_(football)	7368022		43650	20170214104855
261	Football_aux_Jeux_de_la_Francophonie	7385551		4137	20170213053540
262	Statistiques_et_records_de_la_Coupe_du_monde_de_football_de_plage	7465856		21064	20170215023010
263	Statistiques_et_records_du_FC_Barcelone	7494003		177409	20170215034104
264	Lois_du_football_de_plage	7514190		13258	20170213003024
265	Centre_de_formation_de_l'AS_Monaco	7555397		5809	20170215023147
266	Association_sportive_saint-eugénoise	7647588		5193	20170215023253
267	Footballeur_letton_de_l'année	7793997		5184	20170213054435
268	Footballeur_paraguayen_de_l'année	7794256		2966	20170213054435
269	Footballeur_slovaque_de_l'année	7794319		1918	20170213054435
270	Footballeur_géorgien_de_l'année	7794479		3798	20170214182634
271	Entraîneur_allemand_de_l'année	7794498		1437	20170213054435
272	Footballeur_chilien_de_l'année	7795936		5469	20170213054438
273	Footballeur_kazakh_de_l'année	7796249		3025	20170213054438
274	Footballeur_moldave_de_l'année	7796442		4635	20170214184902
275	Footballeur_serbe_de_l'année	7799187		3850	20170213054441
276	Équipe_réserve_et_centre_de_formation_du_Bayern_Munich	7857579		19390	20170215023610
277	Hymne_de_la_Ligue_des_champions_de_l'UEFA	7869181		7475	20170215112444
278	Tiki-taka	7903753		4748	20170213054722
279	Tournoi_d'ouverture_et_de_clôture	7908475		5447	20170213054743
280	Cour_belge_d'arbitrage_pour_le_sport	7926991		3769	20170201200511
281	Racisme_dans_le_football	7932903		37135	20170215023727
282	Affaire_Dahmane	7952584		5590	20170127073757
283	Statistiques_et_records_de_l'équipe_d'Algérie_de_football	7966007		57996	20170214165320
284	Technologie_sur_la_ligne_de_but	8043053		8520	20170213010348
285	But_fantôme	8045510		8706	20170214165411
286	Pause_fraîcheur	8074933		2427	20170116200215
287	Miracle_de_Cordoba	8102354		91	20170123011244
288	Sport/Foot_Magazine	8172682		2326	20170213055346
289	Équipe_réserve_et_académie_du_Manchester_City_Football_Club	8173349		44158	20170213011103
290	Scottish_Football_Hall_of_Fame	8178469		6988	20170116200912
291	Liste_des_footballeurs_sélectionnés_en_Scottish_League_XI	8182879		47837	20170116200919
292	Centre_de_formation_du_Dijon_FCO	8251465		18712	20170215024035
293	Footgolf	8339207		7420	20170215024150
294	Centre_de_formation_du_Havre_Athletic_Club_Football_Association	8438336		20772	20170215024341
295	Scotch_Professors	8462949		3100	20170116202538
296	Statistiques_et_records_du_Dijon_FCO	8466776		84278	20170127080406
297	Double_nationalité_au_football	8494723		20398	20170215024426
298	Maillot_de_l'Olympique_de_Marseille	8556590		33502	20170213013035
299	Maillot_du_FC_Barcelone	8557480		21297	20170203004711
300	Équipe_ascenseur	8573914		34174	20170213013136
301	Spray_temporaire	8577220		5681	20170213013149
302	Désastre_d'Ibrox_de_1902	8633073		2234	20170213013429
303	Désastre_d'Ibrox_de_1971	8633085		2949	20170127081331
304	Tableau_d'honneur_de_l'équipe_d'Écosse_de_football	8653183		8097	20170127081436
305	Hamilton_Crescent	8655821		1802	20170213060051
306	Drame_de_Loujniki	8738734		5729	20170213232304
307	Tragédie_de_l'Estadio_Nacional	8739235		7669	20170213232304
308	Tragédie_du_Stade_d'Accra_de_2001	8740833		2420	20170213232304
309	Tragédie_de_la_porte_12	8740894		3474	20170213232304
310	Tragédie_du_Stade_Dasarath_Rangasala	8740955		1433	20170215024708
311	Statistiques_et_records_de_la_Coupe_d'Afrique_de_football	8748136		42296	20170213014008
312	Tragédie_du_Stade_Karaïskaki	8750684		2773	20170213232304
313	Tragédie_du_Stade_Atatürk_de_Kayseri	8788666		1705	20170215024752
314	Liste_des_coups_du_chapeau_en_Premier_League	8865939		146135	20170213014618
315	Liste_des_coups_du_chapeau_en_Coupe_du_monde_de_football	9036029		33435	20170214165802
316	Maillot_de_football	9133132		2507	20170213060703
317	Statistiques_et_records_du_Mouloudia_Club_d'Alger	9139583		25736	20170214165330
318	Footballeur_argentin_de_l'année	9206689		8089	20170116212913
319	Règles_de_Cambridge	9221252		3908	20170213020313
320	Finale_de_la_Coupe_du_monde_féminine_de_football_2015	9262981		2130	20170213060926
321	Tierce_propriété_dans_le_football	9268388		2038	20170213060931
322	Football_dans_l'Empire_ottoman	9272958		11913	20170213020637
323	Transfermarkt	9274581		3685	20170213020656
324	Règles_de_Sheffield	9293606		2435	20170213020748
325	Poste_(football)	9296699		13678	20170215162902
